text,class
 Hello. I want to buy a big or small tea knife. ,yes
 why the price has gone up. ,yes
 Please make the delivery faster. ,yes
" This is a different variety of Junzao. The taste may be a little sour, but it is also ",yes
 is a little bit sour and a little spicy. ,yes
 has contacted the warehouse. ,yes
 Is there really no problem with buying one get one free? . ,yes
 Help me to urge two I bought two copies. ,yes
 If I buy one but also buy other items in the store can I send it,yes
" I bought your mango last time. It's very delicious, so it's fine to be a repeat customer. ",yes
" How big is it, how does it taste? ",yes
" One can, the buy-one-get-one-free campaign is over. ",yes
 Is there an event on New Year's Day? ,yes
 So you want to coax me as a foodie,yes
 I bought some from the supermarket in a hurry and I returned it. ,yes
" Hello, please help me send Huitong. It can only be sent by post. ",yes
 Is this big enough for a baby's small butt?,yes
 And are the walnuts ripe. ,yes
" Take 5 bags at the front, minus 20, and take 4 bags at the back to reduce 10 yuan. Are you the boss. ",yes
 Good kiss cream without a box? Can you give it away or eat it yourself. ,yes
" I was just because it was buy one get one free I just took the photo, but now I want to pay. No, I will close it. ",yes
It is buy one get one free. ,yes
" Kiss paper walnuts 5 jins pack. Occasionally a few bad fruits are inevitable. There will be a certain proportion of agricultural and sideline products loss, but some are inside I really can't see whether it is broken or not. We can only try to minimize the rate of bad fruit. It is normal to have a few bad fruit in a bag. If it is damaged a lot, it can be returned. The quality problem can be returned. ",yes
 This is without a plastic cover. ,yes
 How much is it to buy three packs 545468795743. ,yes
 How can I contact him or can you tell him my new number. ,yes
 I see Please provide your current phone number,yes
 I am the best one for the hotel. It can be shipped today. Someone will take pictures at our hotel later. ,yes
 Buy this and get five packs or something. ,yes
 Get a single pack of individual packs. ,yes
 Is there any discount for the third purchase?,yes
20065110070079683 Help me to see why I can't pay for the order. ,yes
 buy one get one free when will the event end?,yes
 I have already submitted the order to see if Free shipping is available. ,yes
 528690173109 What's the difference between this one and the acquired event? ,yes
 59 Is there any replacement?,yes
" I already bought five packs from the store, why didn't you change the price for me. filmed",yes
 528105689823 I bought this and think the paper quality is not bad. Yes. ,yes
 There are not many small packages. ,yes
" Hello, the top 100 50% off list is there. ",yes
"You need to take a picture of the flower tea you sent, so you take a picture and we will transfer the money back to you because the warehouse will not be able to pick it up if it depends on the order. ",yes
" I have never picked up this kind of junk courier before, but it is delivered to my home. ",yes
 I have paid. Do you have a coupon? ,yes
I placed an order for 2 bags. ,yes
" Hello, are walnuts in one bag per pound. ",yes
" Okay, I will ship it as soon as possible. ",yes
 Is there any difference in the quality of several cotton wipes in your family? ,yes
 Can I get a special deal if I buy more. ,yes
How to sell tea towel pad red sandalwood two in one teapot pen Is there a result. ,yes
 Is the outer packaging original? Hello. ,yes
 528690173109 What is the difference between these two. ,yes
When can I send it. ,yes
 The gifts are random. Which one is best to wash your face yourself. ,yes
"The non-woven fabric is not pure cotton, right? Oh, what material is the non-woven fabric? ",yes
 What's the difference between Juhuasuan's 1199 and 799. ,yes
 is a yellow non-woven fabric. ,yes
 help me to change the shipping fee thank you,yes
 The customer can place an order according to the taste you like. ,yes
 Which province? ,yes
" Hello, what express is the default. ",yes
 I need it urgently. ,yes
 It will be shipped within 72 hours. ,yes
" It has been a few days, why hasn't it been shipped yet. I am afraid that the delivery will not arrive during the Chinese New Year. ",yes
 Is this out of stock. ,yes
"Dear, when will it be shipped? ",yes
 Do you have to pay the deposit on the 15th? ,yes
 how much,yes
" then I don't need a tea spoon, can I? 30 a tea box and a small tea knife and I can pay",yes
 I want to send it every day. ,yes
Is this walnut new? When was it. ,yes
 Are these two products the same 52810897317945471763191. ,yes
 Can you take a picture for me to see. ,yes
" If possible, SF Express will come to Jiaxing and it's not far from Ningbo. It's really important, so please help me with your heart. I urge you to arrive tomorrow. ",yes
" How long does it take to ship. Delivery within 72 hours Normal payment time Orders before 15:00 will be delivered on the same day Orders after 15:00 will be delivered the next day within 72 hours at the latest. After receiving the goods, please inspect the goods before signing for receipt. If the package is damaged, you can directly If you have any dissatisfaction after rejecting the receipt, please contact us in time. ",yes
Is there anything in the card roll bag. ,yes
 What is this buy 2 get 5 free. ,yes
" I prefer egg yolk and meat floss, and there are also a lot of bean paste. ",yes
 Will it be flattened during transportation? It should be sent to my parents. ,yes
 Please let me know when it arrives. ,yes
 Do you have the original flavor for pregnant women? ,yes
 Buy it now is it 179. ,yes
 545468795743 Do you have free shipping for two pieces. ,yes
 Does Ningxia not include it? ,yes
 Does your 618 have a discount? ,yes
 Hello. I searched for the knife and didn't see it. ,yes
 Can it be shipped today. ,yes
 don't you have a big pack of wet wipes? How much money is left. ,yes
" Kiss, I have free shipping for you here. ",yes
" I buy so much, can I get free shipping? ",yes
 Please help me change the shipping fee,yes
 Did you not deliver the goods yesterday? Ignore me. ,yes
Is there any scratches on the tea spoon? ,yes
 Now this anti-overflow breast pad is still 399. Are there any discounts for two boxes now. ,yes
 Is there an activity for buying two questions. ,yes
 How much is the cost-effective gathering? I will join first. ,yes
" send it over, I need it",yes
 I know this and I want to know what discounts are available. ,yes
" Dear Keguan store, the default postage is Baishihuitong every day express. It can be sent if it is in stock. ",yes
" If I want to send SF Express, how much should I add. ",yes
" What courier to send. Shentong, do you see which courier is more convenient for you to receive? You can place an order and make a note yourself or contact our Xiaoer to make a note for you. If you want to send SF Express, please contact Xiaoer to make up the difference. ",yes
 546838661718 Can this be sent to Shentong or postal service? . ,yes
 I bought the egg yolk dumplings and sent it to me. ,yes
 Are all the things I bought from our store. ,yes
 Good dear. How can the yuan be reduced? I submitted the order and did not change the price. ,yes
 I want to change the address. ,yes
" Can you not receive it at the original address? Because it shows that it has been shipped, it means that the express order has been printed out and handed over to the warehouse. ",yes
" Phone. I bought two boxes and forgot to get the 3 yuan coupon, but I can return the 3 yuan to my mother. ",yes
" In addition, I forgot to get the coupon this time, can it be returned to me? ",yes
" Hello, is the express sent by Zhongtong? ",yes
 What kind of express is sent. ,yes
 How about the quality? What about the fragrance-free ones. ,yes
" has already paid, please send the goods to ensure the quality and the production date is recent. ",yes
