word,label
a ha,0
ai,0
ai ai,0
ai nấy,0
ai đó,0
alô,0
amen,0
anh,0
anh ấy,0
ba,0
ba ba,0
ba bản,0
ba cùng,0
ba họ,0
ba ngày,0
ba ngôi,0
ba tăng,0
bao giờ,1
bao lâu,1
bao nhiêu,1
bao nả,0
bay biến,0
biết,0
biết bao,0
biết bao nhiêu,0
biết chắc,0
biết chừng nào,0
biết mình,0
biết mấy,0
biết thế,0
biết trước,0
biết việc,0
biết đâu,0
biết đâu chừng,0
biết đâu đấy,0
biết được,0
buổi,0
buổi làm,0
buổi mới,0
buổi ngày,0
buổi sớm,0
bà,0
bà ấy,0
bài,0
bài bác,0
bài bỏ,0
bài cái,0
bác,0
bán,1
bán cấp,0
bán dạ,0
bán thế,0
bây bẩy,0
bây chừ,0
bây giờ,0
bây nhiêu,0
bèn,0
béng,0
bên,0
bên bị,0
bên có,0
bên cạnh,0
bông,0
bước,0
bước khỏi,0
bước tới,0
bước đi,0
bạn,0
bản,0
bản bộ,0
bản riêng,0
bản thân,0
bản ý,0
bất chợt,0
bất cứ,0
bất giác,0
bất kì,0
bất kể,0
bất kỳ,0
bất luận,0
bất ngờ,0
bất nhược,0
bất quá,0
bất quá chỉ,0
bất thình lình,0
bất tử,0
bất đồ,0
bấy,0
bấy chầy,0
bấy chừ,0
bấy giờ,0
bấy lâu,0
bấy lâu nay,0
bấy nay,0
bấy nhiêu,0
bập bà bập bõm,0
bập bõm,0
bắt đầu,1
bắt đầu từ,0
bằng,0
bằng cứ,0
bằng không,1
bằng người,0
bằng nhau,0
bằng như,0
bằng nào,0
bằng nấy,0
bằng vào,0
bằng được,0
bằng ấy,0
bển,0
bệt,0
bị,0
bị chú,0
bị vì,0
bỏ,1
bỏ bà,0
bỏ cha,0
bỏ cuộc,0
bỏ không,1
bỏ lại,1
bỏ mình,0
bỏ mất,1
bỏ mẹ,0
bỏ nhỏ,0
bỏ quá,0
bỏ ra,1
bỏ riêng,1
bỏ việc,0
bỏ xa,0
bỗng,0
bỗng chốc,0
bỗng dưng,0
bỗng không,0
bỗng nhiên,0
bỗng nhưng,0
bỗng thấy,0
bỗng đâu,0
bộ,0
bộ thuộc,0
bộ điều,0
bội phần,0
bớ,0
bởi,0
bởi ai,0
bởi chưng,0
bởi nhưng,0
bởi sao,0
bởi thế,0
bởi thế cho nên,0
bởi tại,0
bởi vì,0
bởi vậy,0
bởi đâu,0
bức,0
cao,1
cao lâu,1
cao ráo,1
cao răng,1
cao sang,1
cao số,1
cao thấp,1
cao thế,1
cao xa,1
cha,0
cha chả,0
chao ôi,0
chia sẻ,1
chiếc,0
cho,1
cho biết,0
cho chắc,0
cho hay,0
cho nhau,1
cho nên,0
cho rằng,0
cho rồi,0
cho thấy,0
cho tin,0
cho tới,0
cho tới khi,0
cho về,0
cho ăn,1
cho đang,0
cho được,1
cho đến,0
cho đến khi,0
cho đến nỗi,0
choa,0
chu cha,0
chui cha,0
chung,1
chung cho,0
chung chung,0
chung cuộc,0
chung cục,0
chung nhau,0
chung qui,0
chung quy,1
chung quy lại,1
chung ái,0
chuyển,1
chuyển tự,0
chuyển đạt,0
chuyện,0
chuẩn bị,0
chành chạnh,0
chí chết,0
chính,0
chính bản,0
chính giữa,0
chính là,0
chính thị,0
chính điểm,0
chùn chùn,0
chùn chũn,0
chú,0
chú dẫn,0
chú khách,0
chú mày,0
chú mình,0
chúng,0
chúng mình,0
chúng ta,0
chúng tôi,0
chúng ông,0
chăn chắn,0
chăng,0
chăng chắc,0
chăng nữa,0
chơi,1
chơi họ,0
chưa,1
chưa bao giờ,0
chưa chắc,0
chưa có,1
chưa cần,1
chưa dùng,1
chưa dễ,0
chưa kể,0
chưa tính,0
chưa từng,0
chầm chập,0
chậc,0
chắc,0
chắc chắn,1
chắc dạ,0
chắc hẳn,0
chắc lòng,0
chắc người,0
chắc vào,0
chắc ăn,0
chẳng lẽ,0
chẳng những,0
chẳng nữa,0
chẳng phải,0
chết nỗi,0
chết thật,0
chết tiệt,0
chỉ,0
chỉ chính,0
chỉ có,0
chỉ là,0
chỉ tên,0
chỉn,0
chị,0
chị bộ,0
chị ấy,0
chịu,1
chịu chưa,0
chịu lời,1
chịu tốt,1
chịu ăn,1
chọn,1
chọn bên,0
chọn ra,1
chốc chốc,0
chớ,0
chớ chi,0
chớ gì,0
chớ không,0
chớ kể,0
chớ như,0
chợt,0
chợt nghe,0
chợt nhìn,0
chủn,0
chứ,0
chứ ai,0
chứ còn,0
chứ gì,0
chứ không,1
chứ không phải,1
chứ lại,0
chứ lị,0
chứ như,0
chứ sao,0
coi bộ,0
coi mòi,0
con,0
con con,0
con dạ,0
con nhà,0
con tính,0
cu cậu,0
cuối,0
cuối cùng,0
cuối điểm,0
cuốn,0
cuộc,0
càng,0
càng càng,0
càng hay,0
cá nhân,0
các,0
các cậu,0
cách,0
cách bức,0
cách không,1
cách nhau,0
cách đều,0
cái,0
cái gì,0
cái họ,0
cái đã,0
cái đó,0
cái ấy,0
câu hỏi,0
cây,0
cây nước,0
còn,1
còn như,1
còn nữa,1
còn thời gian,1
còn về,1
còn có,1
có,1
có ai,0
có chuyện,0
có chăng,0
